,ID,map,folder,image,cir0_x,cir0_y,cir0_r,cir1_x,cir1_y,cir1_r,cir2_x,cir2_y,cir2_r,cir3_x,cir3_y,cir3_r,cir4_x,cir4_y,cir4_r,numCircles,TimeStamp,season
0,1,WE,Survey-Epicenter,EndZone_1 (2).png ,584,138,23,582,160,45,600,204,93,590,260,147,564,412,303,5,2024_03_24 14:33:00,18
1,2,SP,Northpad,EndZone_1.png ,318,212,21,304,226,40,340,244,80,376,302,150,422,452,306,5,2023_11_14 08:14:17,18
2,3,WE,Tree,EndZone_10 (2).png ,412,840,22,420,838,44,442,868,90,466,820,147,442,668,302,5,2023_11_14 08:21:31,18
3,4,WE,Landslide,EndZone_10 (3).png ,466,378,22,480,374,44,460,382,91,514,402,147,438,534,302,5,2024_03_24 14:37:58,18
4,5,WE,Monument,EndZone_10.png ,532,426,21,538,446,46,562,430,91,600,412,149,478,508,301,5,2023_11_05 00:54:04,18
5,6,SP,Ceto-Station,EndZone_100.png ,394,522,19,396,530,40,414,548,80,416,610,151,462,462,306,5,2024_03_24 15:31:31,18
6,7,SP,Mill,EndZone_1000.png ,152,488,20,170,480,40,208,492,79,278,496,151,416,424,305,5,2023_11_21 19:29:10,18
7,8,WE,Survey-Epicenter,EndZone_1001.png ,584,160,21,584,160,44,556,194,90,526,242,149,526,396,303,5,2023_11_21 19:29:30,18
8,9,SP,Barometer,EndZone_1002.png ,348,680,20,330,680,40,362,698,80,406,644,149,418,488,306,5,2023_11_21 19:30:08,18
9,10,WE,Survey-Epicenter,EndZone_1003.png ,624,132,22,612,150,45,614,196,91,616,256,147,620,408,301,5,2023_11_21 19:30:46,18
10,11,SP,Pylon,EndZone_1004.png ,548,686,19,548,686,40,548,676,80,504,638,149,558,492,306,5,2023_11_21 19:31:06,18
11,12,SP,Launchpad,EndZone_1005.png ,786,670,21,772,658,40,732,650,82,680,600,149,528,572,307,5,2023_11_21 19:31:44,18
12,13,WE,Harvester,EndZone_1006.png ,412,682,23,424,690,46,416,702,92,386,712,148,320,584,303,5,2023_11_21 19:32:22,18
13,14,SP,Barometer,EndZone_1007.png ,374,724,20,386,730,40,360,708,80,404,656,150,534,570,306,5,2023_11_21 19:33:00,18
14,15,SP,Coastal,EndZone_1008.png ,550,838,20,556,820,40,538,782,80,558,716,150,594,564,305,5,2023_11_21 19:33:38,18
15,16,SP,Barometer,EndZone_1009.png ,432,704,20,436,720,40,420,700,80,452,638,150,496,490,307,5,2023_11_21 19:34:15,18
16,17,WE,Countdown,EndZone_101.png ,258,396,21,272,412,46,258,446,91,256,392,149,390,466,302,5,2024_03_24 15:32:04,18
17,18,SP,Barometer,EndZone_1010.png ,358,768,20,360,752,40,390,722,81,418,658,149,450,504,306,5,2023_11_21 19:34:53,18
18,19,WE,SkyW-Trials,EndZone_1012.png ,160,184,22,162,186,45,200,210,91,226,260,147,316,386,303,5,2023_11_21 19:35:52,18
19,20,WE,Stacks-Maude,EndZone_1013.png ,712,896,22,694,886,44,694,840,92,678,786,149,588,660,301,5,2023_11_21 19:36:29,18
20,21,SP,Launchpad,EndZone_1014.png ,796,706,20,778,700,40,740,688,80,682,646,149,612,508,306,5,2023_11_21 19:37:07,18
21,22,SP,Pylon,EndZone_1016.png ,564,736,19,564,736,40,544,704,80,510,644,150,492,492,306,5,2023_11_21 19:38:23,18
22,23,WE,Staging-Mirage,EndZone_1017.png ,130,562,22,142,572,46,174,558,91,178,506,147,298,600,303,5,2023_11_21 19:39:00,18
23,24,SP,Bean,EndZone_1018.png ,252,582,20,268,576,40,286,608,80,348,572,149,478,486,305,5,2023_11_21 19:39:38,18
